"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","TX Prohibit","Reverse","Simplex TDMA","TDMA Adaptive","Encryption Group Id","Digital Encryption","Call Confirmation","Talk Around","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","Digi APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming"
"1","SL5ZYT TS1","434.95000","432.95000","D-Digital","Turbo","12.5K","Off","Off","Regional","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","5","1","None","Low SM5","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"2","SL5ZYT TS2","434.95000","432.95000","D-Digital","Turbo","12.5K","Off","Off","SM5","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","5","2","None","Low SM5","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","End Of Transmission","On","Analog","1","0","On","off"
"4","SK5BN RV48","145.60000","145.00000","A-Analog","Turbo","12.5K","82.5","82.5","Hela Sverige","Group Call","DMR","Off","Carrier","Off","1","1","1","Off","1","1","None","Sverige","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Analog","1","0","On","off"
"5","SK5RYG-2M TS1","145.66250","145.06250","D-Digital","Turbo","12.5K","Off","Off","SM5","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","5","1","None","Low SM5","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"6","SK5RYG-2M TS2","145.66250","145.06250","D-Digital","Turbo","12.5K","Off","Off","SM5","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","5","2","None","Low SM5","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"10","SK5BN RU368","434.60000","432.60000","A-Analog","Turbo","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"11","SK5AS RV59","145.73750","145.13750","A-Analog","Turbo","12.5K","Off","82.5","Hela Sverige","Group Call","DMR","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"13","FRO 48R DMR","448.45000","442.45000","D-Digital","Turbo","12.5K","Off","Off","FRO TG1","Group Call","FRO 41400","Always","Carrier","Off","1","1","1","Off","4","1","FRO","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"14","FRO 48R UHF","448.45000","442.45000","A-Analog","Turbo","12.5K","79.7","79.7","FRO TG1","Group Call","FRO 41400","Off","Carrier","Off","1","1","1","Off","4","1","FRO","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"15","FRO 64R","166.11250","158.11250","A-Analog","Turbo","12.5K","79.7","79.7","FRO TG1","Group Call","FRO 41400","Off","Carrier","Off","1","1","1","Off","1","1","FRO","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"16","FRO 48SD NO USE","448.45000","448.45000","D-Digital","Turbo","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","1","2","FRO","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","End Of Transmission","Off","Analog","1","0","Off","off"
"18","FRONET TS1","166.33750","158.33750","D-Digital","High","12.5K","Off","Off","Hela Sverige","Group Call","FRO 41400","Different Color Code","Carrier","Off","1","1","1","Off","4","1","FRO","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","End Of Transmission","Off","Analog","1","0","Off","off"
"19","FRONET TS2","166.33750","158.33750","D-Digital","High","12.5K","Off","Off","FRO OST","Group Call","FRO 41400","Different Color Code","Carrier","Off","1","1","1","Off","4","2","FRO","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","End Of Transmission","Off","Analog","1","0","Off","off"
"20","SL5ZYT SM1","434.95000","432.95000","D-Digital","Turbo","12.5K","Off","Off","SM1","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","5","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","End Of Transmission","Off","Analog","1","0","On","off"
"21","SL5ZYT SM2","434.95000","432.95000","D-Digital","Turbo","12.5K","Off","Off","SM2","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","5","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","End Of Transmission","Off","Analog","1","0","On","off"
"22","SL5ZYT SM3","434.95000","432.95000","D-Digital","Turbo","12.5K","Off","Off","SM3","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","5","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","End Of Transmission","Off","Analog","1","0","On","off"
"23","SL5ZYT SM4","434.95000","432.95000","D-Digital","Turbo","12.5K","Off","Off","SM4","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","5","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","End Of Transmission","Off","Analog","1","0","On","off"
"24","SL5ZYT SM5","434.95000","432.95000","D-Digital","Turbo","12.5K","Off","Off","SM5","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","5","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","On","Off","Off","End Of Transmission","Off","Digital","1","0","On","off"
"25","SL5ZYT SM6","434.95000","432.95000","D-Digital","Turbo","12.5K","Off","Off","SM6","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","5","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","End Of Transmission","Off","Analog","1","0","On","off"
"26","SL5ZYT SM7","434.95000","432.95000","D-Digital","Turbo","12.5K","Off","Off","SM7","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","5","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","End Of Transmission","Off","Analog","1","0","On","off"
"27","SL5ZYT LOKAL","434.95000","432.95000","D-Digital","Turbo","12.5K","Off","Off","Lokal","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","5","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","End Of Transmission","Off","Analog","1","0","On","off"
"28","SL5ZYT SVERIGE","434.95000","432.95000","D-Digital","Turbo","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","5","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","End Of Transmission","Off","Analog","1","0","On","off"
"29","SL5ZYT CLUSTER","434.95000","432.95000","D-Digital","Turbo","12.5K","Off","Off","Regional","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","5","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","End Of Transmission","Off","Analog","1","0","On","off"
"30","SK5BN Simplex-D","432.55000","432.55000","D-Digital","High","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","End Of Transmission","Off","Analog","1","0","Off","off"
"31","SK5BN 275","145.27500","145.27500","A-Analog","Turbo","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off","off"
"32","550","145.55000","145.55000","A-Analog","Turbo","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off","off"
"34","STO CITY TS1","434.96250","432.96250","D-Digital","Turbo","12.5K","Off","Off","SM5","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"35","STO CITY TS2","434.96250","432.96250","D-Digital","Turbo","12.5K","Off","Off","SM5","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","0","2","None","Sverige","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","On","Analog","1","0","On","off"
"36","KISTA TS1","434.98750","432.98750","D-Digital","High","12.5K","Off","Off","SM0","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"37","KISTA TS2","434.98750","432.98750","D-Digital","High","12.5K","Off","Off","SM0","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","0","2","None","Sverige","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"38","BOTKYRKA TS1","434.87500","432.87500","D-Digital","Turbo","12.5K","Off","Off","SM0","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"39","BOTKYRKA TS2","434.87500","432.87500","D-Digital","Turbo","12.5K","Off","Off","SM0","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","0","2","None","Sverige","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"40","JONKOPING TS1","434.97500","432.97500","D-Digital","Turbo","12.5K","Off","Off","SM5","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","7","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"41","JONKOPING TS2","434.97500","432.97500","D-Digital","Turbo","12.5K","Off","Off","SM5","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","7","2","None","Low SM5","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"42","SK5RYG TS1","434.51250","432.51250","D-Digital","Turbo","12.5K","Off","Off","SM5","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","5","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"43","SK5RYG TS2","434.51250","432.51250","D-Digital","Turbo","12.5K","Off","Off","SM5","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","5","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","On","Off","1","0","On","off"
"44","SM5DWC TS1 LNK","434.87500","432.87500","D-Digital","High","12.5K","Off","Off","SM5","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","5","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"45","SM5DWC TS2 LNK","434.87500","432.87500","D-Digital","High","12.5K","Off","Off","SM5","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","5","2","None","Low SM5","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","On","off"
"46","SK0UX 2M TS1","145.57500","144.97500","D-Digital","Turbo","12.5K","Off","Off","310 - TAC US","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"47","SK0UX 2M TS2","145.57500","144.97500","D-Digital","Turbo","12.5K","Off","Off","SM5","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","0","2","None","Sverige","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"48","BOTKYRKA 2M TS1","145.62500","145.02500","D-Digital","Turbo","12.5K","Off","Off","SM0","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"49","BOTKYRKA 2M TS2","145.62500","145.02500","D-Digital","Turbo","12.5K","Off","Off","SM0","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","0","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"50","SK5RYG 2M TS1","145.66250","145.06250","D-Digital","Turbo","12.5K","Off","Off","SM5","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","5","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"51","SK5RYG 2M TS2","145.66250","145.06250","D-Digital","Turbo","12.5K","Off","Off","SM5","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","5","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"52","Nassjoe 2M TS1","145.58750","144.98750","D-Digital","Turbo","12.5K","Off","Off","SM7","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","7","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"53","Nassjoe 2M TS2","145.58750","144.98750","D-Digital","Turbo","12.5K","Off","Off","SM7","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","7","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"54","Nassjoe TS1","434.90000","432.90000","D-Digital","Turbo","12.5K","Off","Off","SM7","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","7","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"55","Nassjoe TS2","434.90000","432.90000","D-Digital","Turbo","12.5K","Off","Off","SM7","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","7","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"60","APRS SK5BN","434.95000","432.95000","D-Digital","High","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Always","Carrier","Off","1","1","1","Off","5","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","On","Off","1","0","On","off"
"62","SL0ZS Vestberga","145.60000","145.00000","A-Analog","High","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"63","SM0YIX Soder","434.72500","432.72500","A-Analog","High","12.5K","77.0","77.0","Hela Sverige","Group Call","DMR","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"64","SK0ZA Solna","434.85000","432.85000","A-Analog","High","12.5K","123.0","123.0","Hela Sverige","Group Call","DMR","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"65","SK0PQ Kista","145.67500","145.07500","A-Analog","High","12.5K","123.0","123.0","Hela Sverige","Group Call","DMR","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"66","SK0CT Kista","434.66250","432.66250","A-Analog","High","12.5K","77.0","77.0","Hela Sverige","Group Call","DMR","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"67","SM0MMO Tullinge","145.66250","145.06250","A-Analog","High","12.5K","77.0","77.0","Hela Sverige","Group Call","DMR","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","On","off"
"102","SG0RPF.SM5","434.78750","432.78750","D-Digital","High","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"103","SM0WIU-2.SM5","434.87500","432.87500","D-Digital","High","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"104","SM0WIU-3.SM5","434.61250","432.61250","D-Digital","High","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Same Color Code","Carrier","Off","1","1","1","Off","0","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"105","SK0NN.SM5","434.53750","432.53750","D-Digital","High","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"106","SK0MM.SM5","434.97500","432.97500","D-Digital","High","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"107","SK0UX.SM5","145.57500","144.97500","D-Digital","High","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Same Color Code","Carrier","Off","1","1","1","Off","0","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"108","SK0RPF.SM5","434.88750","432.88750","D-Digital","High","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"109","SK0RYG-3.SM5","434.95000","432.95000","D-Digital","High","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Same Color Code","Carrier","Off","1","1","1","Off","0","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"110","SK0RYG-4.SM5","434.96250","432.96250","D-Digital","High","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Same Color Code","Carrier","Off","1","1","1","Off","0","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"111","SK0RYG-5.SM5","434.91250","432.91250","D-Digital","High","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Same Color Code","Carrier","Off","1","1","1","Off","0","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"112","SK0SX.SM5","434.98750","432.98750","D-Digital","High","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Same Color Code","Carrier","Off","1","1","1","Off","0","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"113","SK0RYG-6.SM5","434.76250","432.76250","D-Digital","High","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Same Color Code","Carrier","Off","1","1","1","Off","0","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"114","SK0RMT.SM5","434.73750","432.73750","D-Digital","High","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Same Color Code","Carrier","Off","1","1","1","Off","0","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"115","SK2RGJ.SM5","434.51250","432.51250","D-Digital","High","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Same Color Code","Carrier","Off","1","1","1","Off","2","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"116","SK2HG.SM5","434.75000","432.75000","D-Digital","High","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Same Color Code","Carrier","Off","1","1","1","Off","2","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"117","SK2HG/R3.SM5","145.67500","145.07500","D-Digital","High","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Same Color Code","Carrier","Off","1","1","1","Off","2","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"118","SK2DR.SM5","434.90000","432.90000","D-Digital","High","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Same Color Code","Carrier","Off","1","1","1","Off","2","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"119","SK2HG-7.SM5","434.98750","432.98750","D-Digital","High","12.5K","Off","Off","Hela Sverige","Group Call","DMR","Same Color Code","Carrier","Off","1","1","1","Off","2","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
